EditionId	ASIN	ISBN	Title	Author	Edition Author	Binding	PublicationYear	Rating	Tags	Note	Condition	DatePurchased	PurchasePrice	DateRead	Signed	Loaned	LoanedTo	LoanedDate	LoanDueDate	DateAdded	Private	Favorites list	I plan to read list	Wish list	I've read list	I own list	I'm reading list	Review
59648478	"1936365480"	"1936365480"	Lucky Peach Issue 3			Paperback	2012	4						5/1/2012						8/12/2012		False	False	False	True	False	False	
59727322	"B004TQHBAI"	""	The Influence of Sea Power Upon History, 1660-1783	Mahan, A. T.	A. T. (Alfred Thayer) Mahan	Kindle Edition	2011													7/6/2011		False	True	False	False	False	False	
59886032	"B0051BNTI8"	""	On the Brink		Henry M. Paulson	Hardcover	2010	3						10/1/2011						7/24/2011		False	False	False	True	False	False	
59981686	"1936719118"	"1936719118"	Anything You Want	Sivers, Derek	Derek Sivers	Hardcover	2011													6/30/2011		False	True	False	False	False	False	
60054966	"B003SFWAP2"	""	The Only Sustainable Edge: Why Business (text only) First Edition edition by J.Hagel III.J.S. Brown		J.Hagel III.J.S. Brown	Hardcover	2005													7/11/2011		False	False	False	False	False	False	
62117438	"1466208686"	"1466208686"	Cracking the Coding Interview	McDowell, Gayle Laakmann	Gayle Laakmann McDowell	Paperback	2011	3						8/16/2013						7/29/2013		False	False	False	True	False	False	
63663163	"1936365553"	"1936365553"	Lucky Peach Issue 4			Paperback	2012	4						10/17/2012						8/12/2012		False	False	False	True	False	False	
64372250	"1934356867"	"1934356867"	Programming Clojure		Stuart Halloway, Aaron Bedra	Paperback	2012	5						5/18/2014						5/11/2014		False	False	False	True	False	False	
66997508	"1603090916"	"1603090916"	Harvey Pekar's Cleveland	Pekar, Harvey; Joseph Remnant	Harvey Pekar	Hardcover	2012	4						5/5/2012						5/5/2012		False	False	False	True	False	False	
67874160	"0062109391"	"9780062109392"	This Will Make You Smarter	Brockman, John	John Brockman	Paperback	2012	4												6/9/2012		False	True	False	False	False	False	
67883329	"1595829369"	"1595829369"	Channel Zero: The Complete Collection	Wood, Brian; Brian Wood; Becky Cloonan; Brian Wood; Brian Wood	Brian Wood	Paperback	2012	5						3/16/2014						3/17/2014		False	False	False	True	False	False	
67971502	"B006ZHJSIM"	""	Guide to: Learning Python Decorators		Matt Harrison	Kindle Edition	2012	4						3/1/2013						3/20/2013		False	False	False	True	False	False	
70559477	"1594487367"	"9781594487361"	This Is How You Lose Her	Díaz, Junot	Junot Diaz	Hardcover	2012	4						10/10/2012						10/10/2012		False	False	False	True	False	False	
71524784	"193807307X"	"193807307X"	Lucky Peach Issue 5			Paperback	2012	5						3/11/2013						3/11/2013		False	False	False	True	False	False	
71727421	"1934356980"	"1934356980"	Practical Vim: Edit Text at the Speed of Thought	Neil, Drew	Drew Neil	Paperback	2012													10/19/2013		False	True	False	False	False	False	
71854837	"1620100002"	"1620100002"	Scott Pilgrim Color Hardcover Volume 1: Precious Little Life	O'Malley, Bryan Lee	Bryan Lee O'Malley	Hardcover	2012	4						12/25/2013						12/26/2013		False	False	False	True	False	False	
